director
""
Damien Chazelle
Garth Davis
Dav_id F_idel
Walt Dohrn
Chad Stahelski
Matt Ross
Justin Lin
Chris Renaud
Zack Snyder
Jeremy Gillespie
John Lee Hancock
Ricardo de Montreuil
Patrick Read Johnson
Shawn Burkett
S.S. Rajamouli
Ben Young
James Wan
Sam Taylor-Johnson
Dav_id Yates
Stephen Gaghan
Anna Foerster
Ben Affleck
Dav_id Ayer
Kenneth Lonergan
Thea Sharrock
Todd Phillips
Scott Hicks
Richard Gage
Barry Jenkins
André Øvredal
Peter Berg
Mel Gibson
Gore Verbinski
Duncan Jones
Colin Trevorrow
Sean Foley
Morten Tyldum
James Gunn
Phillip Guzman
Dominique Abel
Gavin O'Connor
Yimou Zhang
Nacho Vigalondo
Byron Howard
Tate Taylor
Bryan Singer
Antoine Fuqua
Clint Eastwood
Robert Zemeckis
Christophe Lourdelet
Roland Emmerich
James Cameron
Dav_id Fincher
Gareth Edwards
Rob Marshall
John Madden
Garry Marshall
John Hamburg
Jon Lucas
Terry George
Scott Derrickson
Fede Alvarez
Paul Feig
Joss Whedon
Anthony Russo
Paul Greengrass
Quentin Tarantino
Olivier Assayas
Greg Tiernan
Feliks Falk
James Gray
Ron Clements
Denis Villeneuve
Shane Black
J.J. Abrams
M. Night Shyamalan
R_idley Scott
Theodore Melfi
Justin Kurzel
George Miller
J.A. Bayona
Sean Penn
Lone Scherfig
Martin Scorsese
Robin Swicord
Christopher Nolan
Tim Miller
Matthew Vaughn
Makoto Shinkai
