movie_id,genre
10,Adventure
10,Drama
10,Romance
22,Drama
1,Action
1,Adventure
1,Sci-Fi
12,Biography
12,Drama
12,History
25,Action
25,Adventure
25,Sci-Fi
55,Action
55,Crime
55,Drama
60,Biography
60,Drama
62,Horror
62,Mystery
62,Thriller
24,Animation
24,Adventure
24,Comedy
59,Comedy
59,Drama
59,Romance
53,Comedy
53,Drama
70,Action
70,Drama
70,Thriller
67,Drama
67,History
67,Thriller
50,Drama
81,Action
81,Adventure
81,Sci-Fi
74,Drama
74,Romance
73,Drama
73,Fantasy
93,Drama
75,Animation
75,Adventure
75,Comedy
49,Action
49,Adventure
49,Sci-Fi
34,Action
34,Adventure
34,Comedy
_design/794d3a1331c7f3304fb7715d2e2b21095f9e1be9,
6,Action
6,Adventure
6,Fantasy
40,Comedy
40,Drama
72,Action
72,Drama
72,Romance
44,Biography
44,Drama
44,History
91,Crime
91,Drama
91,Mystery
95,Action
95,Adventure
95,Sci-Fi
31,Comedy
13,Action
13,Adventure
13,Sci-Fi
32,Drama
32,Thriller
33,Action
33,Adventure
33,Sci-Fi
17,Biography
17,Drama
17,History
20,Drama
20,Mystery
20,Sci-Fi
42,Drama
26,Comedy
39,Action
39,Adventure
39,Western
16,Animation
16,Adventure
16,Comedy
4,Animation
4,Comedy
4,Family
64,Drama
64,Romance
64,Thriller
56,Adventure
56,Drama
56,History
28,Horror
28,Thriller
11,Adventure
11,Family
11,Fantasy
54,Action
54,Crime
54,Thriller
80,Action
80,Comedy
80,Fantasy
45,Drama
97,Animation
97,Drama
97,Fantasy
15,Action
15,Comedy
15,Drama
90,Action
90,Crime
90,Drama
92,Action
92,Adventure
92,Fantasy
98,Horror
98,Mystery
98,Sci-Fi
19,Biography
19,Drama
61,Action
61,Adventure
61,Sci-Fi
76,Action
76,Adventure
76,Fantasy
69,Drama
48,Adventure
48,Drama
48,Fantasy
_design/f2e6f01a9d833e6d7edf525aeb2a6dccd91456f8,
82,Comedy
82,Drama
100,Crime
100,Drama
100,Thriller
36,Action
36,Adventure
36,Sci-Fi
35,Action
35,Horror
35,Sci-Fi
14,Animation
14,Adventure
14,Comedy
46,Action
46,Adventure
46,Fantasy
29,Comedy
66,Action
66,Adventure
66,Comedy
43,Horror
30,Action
30,Adventure
30,Drama
47,Drama
47,Thriller
89,Crime
89,Drama
89,Mystery
68,Action
68,Adventure
68,Sci-Fi
71,Drama
71,History
8,Comedy
79,Action
79,Adventure
79,Fantasy
57,Crime
57,Horror
57,Thriller
77,Action
77,Sci-Fi
9,Action
9,Adventure
9,Biography
88,Action
88,Adventure
88,Fantasy
27,Action
27,Adventure
27,Drama
65,Drama
65,Mystery
65,Sci-Fi
86,Action
86,Adventure
86,Sci-Fi
99,Drama
99,Mystery
99,Thriller
21,Adventure
21,Drama
21,Thriller
51,Action
51,Adventure
51,Fantasy
63,Crime
63,Drama
63,Mystery
37,Adventure
37,Drama
37,Sci-Fi
18,Action
18,Thriller
52,Action
52,Adventure
52,Fantasy
3,Horror
3,Thriller
2,Adventure
2,Mystery
2,Sci-Fi
85,Action
85,Crime
85,Thriller
41,Animation
41,Adventure
41,Comedy
7,Comedy
7,Drama
7,Music
78,Adventure
78,Drama
78,War
5,Action
5,Adventure
5,Fantasy
83,Biography
83,Comedy
83,Crime
84,Crime
84,Drama
84,Mystery
87,Crime
87,Drama
58,Drama
58,Romance
23,Crime
23,Drama
23,Horror
94,Comedy
94,Crime
94,Drama
38,Action
38,Adventure
38,Fantasy
96,Action
96,Comedy
96,Crime
