movie_id,actor
10,Jennifer Lawrence
10,Chris Pratt
10,Michael Sheen
10,Laurence Fishburne
22,Casey Affleck
22,Michelle Williams
22,Kyle Chandler
22,Lucas Hedges
1,Chris Pratt
1,Vin Diesel
1,Bradley Cooper
1,Zoe Saldana
12,Taraji P. Henson
12,Octavia Spencer
12,Janelle Monáe
12,Kevin Costner
25,Liam Hemsworth
25,Jeff Goldblum
25,Bill Pullman
25,Maika Monroe
55,Christian Bale
55,Heath Ledger
55,Aaron Eckhart
55,Michael Caine
60,Tom Hanks
60,Aaron Eckhart
60,Laura Linney
60,Valerie Mahaffey
62,Brian Cox
62,Emile Hirsch
62,Ophelia Lovibond
62,Michael McElhatton
24,Anna Kendrick
24,Justin Timberlake
24,Zooey Deschanel
24,Christopher Mintz-Plasse
59,Gemma Arterton
59,Sam Claflin
59,Bill Nighy
59,Jack Huston
53,Jennifer Aniston
53,Kate Hudson
53,Julia Roberts
53,Jason Sudeikis
70,Mark Wahlberg
70,Kurt Russell
70,Douglas M. Griffin
70,James DuMont
67,Mark Wahlberg
67,Michelle Monaghan
67,J.K. Simmons
67,John Goodman
50,Charlize Theron
50,Javier Bardem
50,Adèle Exarchopoulos
50,Jared Harris
81,Leonardo DiCaprio
81,Joseph Gordon-Levitt
81,Ellen Page
81,Ken Watanabe
74,Will Smith
74,Edward Norton
74,Kate Winslet
74,Michael Peña
73,Lewis MacDougall
73,Sigourney Weaver
73,Felicity Jones
73,Toby Kebbell
93,Emma Stone
93,Viola Davis
93,Octavia Spencer
93,Bryce Dallas Howard
75,Ginnifer Goodwin
75,Jason Bateman
75,_idris Elba
75,Jenny Slate
49,Chris Pine
49,Zachary Quinto
49,Karl Urban
49,Zoe Saldana
34,Ryan Reynolds
34,Morena Baccarin
34,T.J. Miller
34,Ed Skrein
6,Matt Damon
6,Tian Jing
6,Willem Dafoe
6,Andy Lau
40,John Francis Daley
40,Austin Pendleton
40,Colleen Camp
40,Neil Flynn
72,Brad Pitt
72,Marion Cotillard
72,Jared Harris
72,Vincent Ebrahim
44,Michael Keaton
44,Nick Offerman
44,John Carroll Lynch
44,Linda Cardellini
91,Hugh Jackman
91,Jake Gyllenhaal
91,Viola Davis
91,Melissa Leo
95,Robert Downey Jr.
95,Chris Evans
95,Mark Ruffalo
95,Chris Hemsworth
31,Zoey Deutch
31,James Franco
31,Tangie Ambrose
31,Cedric the Entertainer
13,Felicity Jones
13,Diego Luna
13,Alan Tudyk
13,Donnie Yen
32,Amy Adams
32,Jake Gyllenhaal
32,Michael Shannon
32,Aaron Taylor-Johnson
33,James McAvoy
33,Michael Fassbender
33,Jennifer Lawrence
33,Nicholas Hoult
17,Andrew Garfield
17,Sam Worthington
17,Luke Bracey
17,Teresa Palmer
20,Amy Adams
20,Jeremy Renner
20,Forest Whitaker
20,Michael Stuhlbarg
42,Mahershala Ali
42,Shariff Earp
42,Duan Sanderson
42,Alex R. Hibbert
26,Fiona Gordon
26,Dominique Abel
26,Emmanuelle Riva
26,Pierre Richard
39,Denzel Washington
39,Chris Pratt
39,Ethan Hawke
39,Vincent D'Onofrio
16,Louis C.K.
16,Eric Stonestreet
16,Kevin Hart
16,Lake Bell
4,Matthew McConaughey
4,Reese Witherspoon
4,Seth MacFarlane
4,Scarlett Johansson
64,Dakota Johnson
64,Jamie Dornan
64,Jennifer Ehle
64,Eloise Mumford
56,Andrew Garfield
56,Adam Driver
56,Liam Neeson
56,Tadanobu Asano
28,Jocelin Donahue
28,Jesse Bradford
28,Jesse Borrego
28,Lori Petty
11,Eddie Redmayne
11,Katherine Waterston
11,Alison Sudol
11,Dan Fogler
54,Keanu Reeves
